 Code Snippet                                                                                                                                                  , API Name          , Function/Method Name      , Description/Functionality             , Usage Example                                                                                                    , Language/Framework      
" function getPopularVideos(apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/videos?part=snippet,contentDetails,statistics&chart=mostPopular&key=\${apiKey}\).then(response => response.json()); } ", YouTube Data API  , getPopularVideos          , Get most popular videos               , getPopularVideos('your_api_key');                                                                              , JavaScript/Fetch API    
 function getVideoCategories(apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/videoCategories?part=snippet&regionCode=US&key=\${apiKey}\).then(response => response.json()); }                   , YouTube Data API  , getVideoCategories        , Get video categories                  , getVideoCategories('your_api_key');                                                                            , JavaScript/Fetch API    
" function getTrendingVideos(regionCode, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/videos?part=snippet,contentDetails,statistics&chart=mostPopular&regionCode=\${regionCode}&key=\${apiKey}\).then(response => response.json()); } ", YouTube Data API  , getTrendingVideos         , Get trending videos by region          ," getTrendingVideos('US', 'your_api_key');                                                                       ", JavaScript/Fetch API    
" function getVideoTags(videoId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/videos?id=\${videoId}&key=\${apiKey}&part=snippet\).then(response => response.json()).then(data => data.items[0].snippet.tags); } ", YouTube Data API  , getVideoTags              , Get tags of a video                   ," getVideoTags('dQw4w9WgXcQ', 'your_api_key');                                                                   ", JavaScript/Fetch API    
" function getRelatedVideos(videoId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/search?relatedToVideoId=\${videoId}&type=video&key=\${apiKey}&part=snippet\).then(response => response.json()); } ", YouTube Data API  , getRelatedVideos          , Get related videos                    ," getRelatedVideos('dQw4w9WgXcQ', 'your_api_key');                                                               ", JavaScript/Fetch API    
" function getVideoStatistics(videoId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/videos?id=\${videoId}&key=\${apiKey}&part=statistics\).then(response => response.json()); }                ", YouTube Data API  , getVideoStatistics        , Get statistics of a video             ," getVideoStatistics('dQw4w9WgXcQ', 'your_api_key');                                                             ", JavaScript/Fetch API    
" function getUserSubscriptions(userId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/subscriptions?part=snippet&mine=true&key=\${apiKey}\, { headers: { 'Authorization': \Bearer \${userId}\ } }).then(response => response.json()); } ", YouTube Data API  , getUserSubscriptions      , Get user subscriptions                ," getUserSubscriptions('user_id', 'your_api_key');                                                               ", JavaScript/Fetch API    
" function getChannelPlaylists(channelId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/playlists?part=snippet&channelId=\${channelId}&key=\${apiKey}\).then(response => response.json()); }     ", YouTube Data API  , getChannelPlaylists       , Get playlists of a channel            ," getChannelPlaylists('UC_x5XG1OV2P6uZZ5FSM9Ttw', 'your_api_key');                                               ", JavaScript/Fetch API    
" function getPlaylistDetails(playlistId, apiKey) { return fetch(\https://www.googleapis.com/youtube/v3/playlists?part=snippet,contentDetails&id=\${playlistId}&key=\${apiKey}\).then(response => response.json()); } ", YouTube Data API  , getPlaylistDetails        , Get details of a playlist             ," getPlaylistDetails('PLBCF2DAC6FFB574DE', 'your_api_key');                                                      ", JavaScript/Fetch API    
" function updateVideoDetails(videoId, apiKey, updateData) { return fetch(\https://www.googleapis.com/youtube/v3/videos?part=snippet\, { method: 'PUT', headers: { 'Authorization': \Bearer \${apiKey}\, 'Content-Type': 'application/json' }, body: JSON.stringify({ id: videoId, snippet: updateData }) }).then(response => response.json()); } ", YouTube Data API  , updateVideoDetails        , Update details of a video             ," updateVideoDetails('dQw4w9WgXcQ', 'your_api_key', { title: 'New Title' });                                     ", JavaScript/Fetch API    
